Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
BASE_S,0.013057,0.00012891,-0.044567,0,0,0,0.62266,0.00082169,-7.11E-08,0.00022078,0.00098974,2.91E-06,0.001075,0,0,0,0,0,0,package://haiheng-URDF/meshes/BASE_S.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://haiheng-URDF/meshes/BASE_S.STL,,T170D-100-A2-1/CRA-RI70-90-PRO-2-xxx-B-2E-EC-B0-1;T170D-100-A2-1/T170D-111-A1-腰部转接�?2;T170D-100-A2-1/T170D-133-A1-7080后盖-2,ZBASE,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
WAIST_R_S,0.039339,0.00026138,0.0044605,0,0,0,0.40516,0.00036469,-2.22E-06,-6.33E-05,0.00041459,-1.15E-07,0.00043655,0,0,0,0,0,0,package://haiheng-URDF/meshes/WAIST_R_S.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://haiheng-URDF/meshes/WAIST_R_S.STL,,T170D-100-A2-1/T170D-110-A2-人形腰部电机固定1-1;T170D-100-A2-1/CRA-RI70-80-PRO-2-xxx-B-2E-EC-B0-1;T170D-100-A2-1/T170D-133-A1-7080后盖-1,zx1,x1,WAIST_R,revolute,0,0,0,0,0,0,BASE_S,1,0,0,32,6.39,-0.34907,0.43633,,,,,,,,
WAIST_Y_S,5.99E-05,0.0047012,0.042652,0,0,0,0.47065,0.00050447,-1.72E-07,-2.12E-06,0.00054183,-6.94E-05,0.00044006,0,0,0,0,0,0,package://haiheng-URDF/meshes/WAIST_Y_S.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://haiheng-URDF/meshes/WAIST_Y_S.STL,,T170D-100-A2-1/T170D-118-A3-人形腰部电机固定2-2;T170D-100-A2-1/CRA-RI70-80-PRO-2-xxx-B-2E-EC-B0-4;T170D-100-A2-1/T170D-134-A1-7080后盖有凸�?1,zx2,x2,WAIST_Y,revolute,0.0528,0,0.044,0,0,0,WAIST_R_S,0,0,-1,32,6.39,-0.17453,0.17453,,,,,,,,
WAIST_P_S,-0.028547,-0.049339,0.14018,0,0,0,3.3825,0.011281,6.97E-06,2.53E-05,0.0076907,9.28E-05,0.0057568,0,0,0,0,0,0,package://haiheng-URDF/meshes/WAIST_P_S.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://haiheng-URDF/meshes/WAIST_P_S.STL,,T170D-100-A2-1/T170D-112-A1-腰部旋转（加长）-2;T170D-100-A2-1/T170D-117-A1-腰部轴承�?1;T170D-100-A2-1/T170D-120-A1-人形腰部基板02-1;T170D-100-A2-1/T170D-132-A1-RealSense D435-4;T170D-100-A2-1/相机支架装配-1/相机支架组件4-1;T170D-100-A2-1/相机支架装配-1/相机支架组件2-2;T170D-100-A2-1/相机支架装配-1/相机支架组件1-2;T170D-100-A2-1/相机支架装配-1/相机支架组件1-1;T170D-100-A2-1/相机支架装配-1/相机支架组件2-1;T170D-100-A2-1/相机支架装配-1/hexagon socket head cap screws gb-6;T170D-100-A2-1/相机支架装配-1/hexagon socket head cap screws gb-4;T170D-100-A2-1/T170D-124-A1-人形腰部基板04-1;T170D-100-A2-1/T170D-119-A2-人形腰部基板01-1;T170D-100-A2-1/T170D-107-A1-英伟达AGX主控-1;T170D-100-A2-1/AGX支架-�?2;T170D-100-A2-1/T170D-115-A1-背部相机支架-1;T170D-100-A2-1/T170D-132-A1-RealSense D435-1;T170D-100-A2-1/T170D-123-A1-人形腰部基板03-1;T170D-100-A2-1/AGX支架-�?1;T170D-300-A1-0424A-1/T170D-301-A2-肩膀底座-0424-1;T170D-300-A1-0424A-1/91672002-CRA-RI60-70-PRO-2-101-2E-EC-B1-5;T170D-300-A1-0424A-1/91672002-CRA-RI60-70-PRO-2-101-2E-EC-B1-6;T170D-200-A1forURDF-1/T170D-201-A1-脖子安装底座forURDF-1;T170D-200-A1forURDF-1/CRA-RI40-52-PRO-xxx-2E-EC-B0-1,zx3,x3,WAIST_P,revolute,0,0.0475,0.055,0,0,0,WAIST_Y_S,0,-1,0,32,6.39,-0.5236,0.5236,,,,,,,,
R_SHOULDER_P_S,0.0030966,-0.040465,-5.70E-06,0,0,0,0.23317,0.000172,1.47E-05,-1.12E-08,0.0001403,6.70E-09,0.00016017,0,0,0,0,0,0,package://haiheng-URDF/meshes/R_SHOULDER_P_S.STL,0.46667,0.46667,1,1,0,0,0,0,0,0,package://haiheng-URDF/meshes/R_SHOULDER_P_S.STL,,T170D-300-A1-0424A-1/T170D-302-A1-肩部电机固定1forURDF-2;T170D-300-A1-0424A-1/T170D-303-A1-肩部电机固定2forURDF-2;T170D-300-A1-0424A-1/91672002-CRA-RI60-70-PRO-2-101-2E-EC-B1-8,zrs1,rs1,R_SHOULDER_P,revolute,0,-0.1655,0.257,0,0,0,WAIST_P_S,0,-1,0,30,3.56,-3.1416,3.1416,,,,,,,,
R_SHOULDER_R_S,-0.028468,-0.058144,-7.40E-08,0,0,0,0.25743,0.00033593,-8.89E-05,1.71E-10,0.00019193,-1.53E-12,0.00038214,0,0,0,0,0,0,package://haiheng-URDF/meshes/R_SHOULDER_R_S.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://haiheng-URDF/meshes/R_SHOULDER_R_S.STL,,T170D-300-A1-0424A-1/T170D-306-A1-肩膀电机固定4forURDF-2;T170D-300-A1-0424A-1/T170D-307-A2-6070电机轴承压盖forURDF-2;T170D-300-A1-0424A-1/T170D-305-A2-肩膀电机固定3forURDF-2;T170D-300-A1-0424A-1/91562002-CRA-RI50-60-PRO-2-101-2E-EC-B0-7,zrs2,rs2,R_SHOULDER_R,revolute,0.0315,-0.063,0,0,0,0,R_SHOULDER_P_S,1,0,0,30,3.56,-0.5236,1.5708,,,,,,,,
R_SHOULDER_Y_S,0.0006677,-0.056618,0.00033054,0,0,0,0.1761,0.00013308,1.59E-05,-1.45E-07,6.38E-05,-3.11E-07,0.00012499,0,0,0,0,0,0,package://haiheng-URDF/meshes/R_SHOULDER_Y_S.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://haiheng-URDF/meshes/R_SHOULDER_Y_S.STL,,T170D-300-A1-0424A-1/T170D-308-A1-肘部电机固定1forURDF-1;T170D-300-A1-0424A-1/T170D-309-A1-肘部电机固定2forURDF-1;T170D-300-A1-0424A-1/91562002-CRA-RI50-60-PRO-2-101-2E-EC-B0-6;T170D-300-A1-0424A-1/T170D-310-A1-5060电机后盖forURDF-1,zrs3,rs3,R_SHOULDER_Y,revolute,-0.0315,-0.1425,0,0,0,0,R_SHOULDER_R_S,0,-1,0,9.6,3.87,-3.1416,3.1416,,,,,,,,
R_ELBOW_Y_S,-0.026042,-0.054262,-5.66E-07,0,0,0,0.19935,0.0001665,-4.24E-05,1.89E-09,0.00010085,9.56E-09,0.00018355,0,0,0,0,0,0,package://haiheng-URDF/meshes/R_ELBOW_Y_S.STL,1,1,0.50196,1,0,0,0,0,0,0,package://haiheng-URDF/meshes/R_ELBOW_Y_S.STL,,T170D-300-A1-0424A-1/T170D-311-A1-肘部电机固定3forURDF-1;T170D-300-A1-0424A-1/T170D-313-A2-5060电机轴承压盖forURDF-1;T170D-300-A1-0424A-1/T170D-312-A2-前臂电机固定1forURDF-1;T170D-300-A1-0424A-1/91452002-CRA-RI40-52-PRO-101-2E-EC-B0-2,zrs4,rs4,R_ELBOW_Y,revolute,0.0296,-0.0975,0,0,0,0,R_SHOULDER_Y_S,1,0,0,9.6,3.87,0,2.0071,,,,,,,,
R_WRIST_P_S,7.06E-06,-0.056815,0.027693,0,0,0,0.22827,0.0002339,4.02E-08,1.26E-08,5.80E-05,3.19E-05,0.00024227,0,0,0,0,0,0,package://haiheng-URDF/meshes/R_WRIST_P_S.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://haiheng-URDF/meshes/R_WRIST_P_S.STL,,T170D-300-A1-0424A-1/T170D-314-A1-前臂电机固定2forURDF-2;T170D-300-A1-0424A-1/91342002-CRA-RI30-40-PRO-2-101-2E-EC-B0-5;T170D-300-A1-0424A-1/T170D-321-A1-3040电机无凸台后盖forURDF-2;T170D-300-A1-0424A-1/T170D-315-A1-前臂电机输出盘forURDF-2;T170D-300-A1-0424A-1/轴承695AZZforURDF-4;T170D-300-A1-0424A-1/T170D-317-A1-手腕拉杆轴承压盖forURDF-3;T170D-300-A1-0424A-1/轴承695AZZforURDF-3;T170D-300-A1-0424A-1/T170D-317-A1-手腕拉杆轴承压盖forURDF-4;T170D-300-A1-0424A-1/T170D-318-A1-前臂轴承压盖forURDF-2;T170D-300-A1-0424A-1/T170D-316-A1-手腕拉杆forURDF-4;T170D-300-A1-0424A-1/T170D-316-A1-手腕拉杆forURDF-3;T170D-300-A1-0424A-1/T170D-317-A1-手腕拉杆轴承压盖forURDF-9;T170D-300-A1-0424A-1/轴承695AZZforURDF-7;T170D-300-A1-0424A-1/T170D-317-A1-手腕拉杆轴承压盖forURDF-8;T170D-300-A1-0424A-1/轴承695AZZforURDF-8;T170D-300-A1-0424A-1/T170D-319-A1-手腕前端上盖forURDF-2,zrs5,rs5,R_WRIST_P,revolute,-0.0296,-0.113,0,0,0,0,R_ELBOW_Y_S,0,-1,0,6.5,4.19,-3.1416,3.1416,,,,,,,,
R_WRIST_Y_S,0.0069565,-0.00027459,-0.024368,0,0,0,0.092424,2.48E-05,-7.03E-09,6.53E-06,2.72E-05,-5.64E-08,2.00E-05,0,0,0,0,0,0,package://haiheng-URDF/meshes/R_WRIST_Y_S.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://haiheng-URDF/meshes/R_WRIST_Y_S.STL,,T170D-300-A1-0424A-1/T170D-320-A1-手腕电机固定1forURDF-2;T170D-300-A1-0424A-1/91342002-CRA-RI30-40-PRO-2-101-2E-EC-B0-4;T170D-300-A1-0424A-1/T170D-322-A1-3040电机有凸台后盖forURDF-2,zrs6,rs6,R_WRIST_Y,revolute,0,-0.116,0.037,0,0,0,R_WRIST_P_S,0,0,-1,2.8,4.71,-1.3963,1.3963,,,,,,,,
